subject,trial_number,n_block,catch,hand,mot,val,stim_name,run_number,num_block,ran,order,subject_number,left_side_resp_label,trial_onset,blk_instr_onset,baseline_onset,response,time_of_response,response_hand,response_cleaned,response_lat,response_lat_cleaned,response_meaning,response_meaning_cleaned,condition_mot,condition_val,condition,correct,correct_cleaned,rt
sub-020,46,3,FALSE,right,avoid,neg,fungus3_crop.jpg,1,5,TRUE,45,20,EAT                                    DON'T EAT,2317.5205,2303.409,2144.0488,--,NA,right,2,NA,right,no_response,not_eat,avoid,neg,avoid-neg,NA,1,NA
sub-020,47,3,FALSE,right,avoid,neg,fungus23_crop.jpg,1,5,TRUE,46,20,EAT                                    DON'T EAT,2319.539,2303.409,2144.0488,--,NA,right,2,NA,right,no_response,not_eat,avoid,neg,avoid-neg,NA,1,NA
sub-020,48,3,TRUE,right,approach,neg,insect1_crop.jpg,1,5,TRUE,47,20,EAT                                    DON'T EAT,2321.5571,2303.409,2144.0488,1,2322.2634,right,1,left,left,eat,eat,avoid,neg,avoid-neg,1,1,706.2999999998137
sub-020,49,3,FALSE,right,avoid,neg,fungus29_crop.jpg,1,5,TRUE,48,20,EAT                                    DON'T EAT,2323.5757,2303.409,2144.0488,--,NA,right,2,NA,right,no_response,not_eat,avoid,neg,avoid-neg,NA,1,NA
sub-020,50,3,TRUE,right,approach,pos,cake31_crop.jpg,1,5,TRUE,49,20,EAT                                    DON'T EAT,2325.594,2303.409,2144.0488,1,2326.3435,right,1,left,left,eat,eat,avoid,neg,avoid-neg,1,1,749.5
sub-020,51,2,FALSE,right,approach,neg,insect2_crop.jpg,1,6,TRUE,50,20,EAT                                    DON'T EAT,2345.527,2341.507,2144.0488,1,2346.4062,right,1,left,left,eat,eat,approach,neg,approach-neg,1,1,879.1999999997206
sub-020,52,2,FALSE,right,approach,neg,insect26_crop.jpg,1,6,TRUE,51,20,EAT                                    DON'T EAT,2347.5454,2341.507,2144.0488,1,2348.274,right,1,left,left,eat,eat,approach,neg,approach-neg,1,1,728.6000000000931
sub-020,53,2,FALSE,right,approach,neg,insect29_crop.jpg,1,6,TRUE,52,20,EAT                                    DON'T EAT,2349.564,2341.507,2144.0488,1,2350.1338,right,1,left,left,eat,eat,approach,neg,approach-neg,1,1,569.8000000002794
sub-020,54,2,FALSE,right,approach,neg,insect24_crop.jpg,1,6,TRUE,53,20,EAT                                    DON'T EAT,2351.582,2341.507,2144.0488,1,2352.0884,right,1,left,left,eat,eat,approach,neg,approach-neg,1,1,506.39999999990687
sub-020,55,2,TRUE,right,avoid,pos,meat27_crop.jpg,1,6,TRUE,54,20,EAT                                    DON'T EAT,2353.6006,2341.507,2144.0488,--,NA,right,2,NA,right,no_response,not_eat,approach,neg,approach-neg,NA,1,NA
sub-020,56,2,FALSE,right,approach,neg,insect21_crop.jpg,1,6,TRUE,55,20,EAT                                    DON'T EAT,2355.619,2341.507,2144.0488,1,2356.33,right,1,left,left,eat,eat,approach,neg,approach-neg,1,1,711
sub-020,57,2,TRUE,right,avoid,neg,fungus40_crop.jpg,1,6,TRUE,56,20,EAT                                    DON'T EAT,2357.6372,2341.507,2144.0488,--,NA,right,2,NA,right,no_response,not_eat,approach,neg,approach-neg,NA,1,NA
sub-020,58,2,FALSE,right,approach,neg,insect27_crop.jpg,1,6,TRUE,57,20,EAT                                    DON'T EAT,2359.6555,2341.507,2144.0488,1,2360.5576,right,1,left,left,eat,eat,approach,neg,approach-neg,1,1,902.1000000000931
sub-020,59,2,FALSE,right,approach,neg,insect23_crop.jpg,1,6,TRUE,58,20,EAT                                    DON'T EAT,2361.6738,2341.507,2144.0488,1,2362.445,right,1,left,left,eat,eat,approach,neg,approach-neg,1,1,771.2000000001863
sub-020,60,2,FALSE,right,approach,neg,insect9_crop.jpg,1,6,TRUE,59,20,EAT                                    DON'T EAT,2363.692,2341.507,2144.0488,1,2364.2332,right,1,left,left,eat,eat,approach,neg,approach-neg,1,1,541.2000000001863
