Subject,ROI,Region,Side,Contrast,Mean_Value,Asymmetry_Score
sub-SD,../1_resample_mask/1b_binarized_resampled_Orbital_Frontal_L_Z0.nii,Orbital Frontal,Left,approach-pos > baseline,-0.141678205240699,0.763868313957772
sub-SD,../1_resample_mask/1b_binarized_resampled_Orbital_Frontal_R_Z0.nii,Orbital Frontal,Right,approach-pos > baseline,-0.018966672973368,0.763868313957772
sub-SD,../1_resample_mask/1b_binarized_resampled_Dorsolateral_L_Z2.nii,Dorsolateral,Left,approach-pos < baseline,-0.147977184624455,0.00537851743374641
sub-SD,../1_resample_mask/1b_binarized_resampled_Dorsolateral_R_Z2.nii,Dorsolateral,Right,approach-pos < baseline,-0.146393904589129,0.00537851743374641
sub-SD,../1_resample_mask/1b_binarized_resampled_Orbital_Frontal_L_Z0.nii,Orbital Frontal,Left,approach-pos < baseline,0.141678205240699,0.763868313957772
sub-SD,../1_resample_mask/1b_binarized_resampled_Orbital_Frontal_R_Z0.nii,Orbital Frontal,Right,approach-pos < baseline,0.018966672973368,0.763868313957772
sub-SD,../1_resample_mask/1b_binarized_resampled_Dorsolateral_L_Z2.nii,Dorsolateral,Left,approach-neg > baseline,-0.369958631912394,0.443804644768599
sub-SD,../1_resample_mask/1b_binarized_resampled_Dorsolateral_R_Z2.nii,Dorsolateral,Right,approach-neg > baseline,-0.142518777344989,0.443804644768599
sub-SD,../1_resample_mask/1b_binarized_resampled_Orbital_Frontal_L_Z0.nii,Orbital Frontal,Left,approach-neg > baseline,-0.438520713759419,0.278484823737511
sub-SD,../1_resample_mask/1b_binarized_resampled_Orbital_Frontal_R_Z0.nii,Orbital Frontal,Right,approach-neg > baseline,-0.247479942044146,0.278484823737511
sub-SD,../1_resample_mask/1b_binarized_resampled_Dorsolateral_L_Z2.nii,Dorsolateral,Left,approach-neg < baseline,0.369958631912394,0.443804644768599
sub-SD,../1_resample_mask/1b_binarized_resampled_Dorsolateral_R_Z2.nii,Dorsolateral,Right,approach-neg < baseline,0.142518777344989,0.443804644768599
sub-SD,../1_resample_mask/1b_binarized_resampled_Orbital_Frontal_L_Z0.nii,Orbital Frontal,Left,approach-neg < baseline,0.438520713759419,0.278484823737511
sub-SD,../1_resample_mask/1b_binarized_resampled_Orbital_Frontal_R_Z0.nii,Orbital Frontal,Right,approach-neg < baseline,0.247479942044146,0.278484823737511
sub-SD,../1_resample_mask/1b_binarized_resampled_Dorsolateral_L_Z2.nii,Dorsolateral,Left,avoid-pos > baseline,-0.236353814675696,0.50821385246563
sub-SD,../1_resample_mask/1b_binarized_resampled_Dorsolateral_R_Z2.nii,Dorsolateral,Right,avoid-pos > baseline,-0.077068336021706,0.50821385246563
sub-SD,../1_resample_mask/1b_binarized_resampled_Orbital_Frontal_L_Z0.nii,Orbital Frontal,Left,avoid-pos > baseline,-0.549177522415226,0.274731366730613
sub-SD,../1_resample_mask/1b_binarized_resampled_Orbital_Frontal_R_Z0.nii,Orbital Frontal,Right,avoid-pos > baseline,-0.31245895527456,0.274731366730613
sub-SD,../1_resample_mask/1b_binarized_resampled_Dorsolateral_L_Z2.nii,Dorsolateral,Left,avoid-pos < baseline,0.236353814675696,0.50821385246563
sub-SD,../1_resample_mask/1b_binarized_resampled_Dorsolateral_R_Z2.nii,Dorsolateral,Right,avoid-pos < baseline,0.077068336021706,0.50821385246563
sub-SD,../1_resample_mask/1b_binarized_resampled_Orbital_Frontal_L_Z0.nii,Orbital Frontal,Left,avoid-pos < baseline,0.549177522415226,0.274731366730613
sub-SD,../1_resample_mask/1b_binarized_resampled_Orbital_Frontal_R_Z0.nii,Orbital Frontal,Right,avoid-pos < baseline,0.31245895527456,0.274731366730613
sub-SD,../1_resample_mask/1b_binarized_resampled_Dorsolateral_L_Z2.nii,Dorsolateral,Left,avoid-neg > baseline,0.477197908873237,-0.044820780735818
sub-SD,../1_resample_mask/1b_binarized_resampled_Dorsolateral_R_Z2.nii,Dorsolateral,Right,avoid-neg > baseline,0.521981929316384,-0.044820780735818
sub-SD,../1_resample_mask/1b_binarized_resampled_Orbital_Frontal_L_Z0.nii,Orbital Frontal,Left,avoid-neg > baseline,0.0900172685087662,-0.594671256681149
sub-SD,../1_resample_mask/1b_binarized_resampled_Orbital_Frontal_R_Z0.nii,Orbital Frontal,Right,avoid-neg > baseline,0.354151915110933,-0.594671256681149
sub-SD,../1_resample_mask/1b_binarized_resampled_Dorsolateral_L_Z2.nii,Dorsolateral,Left,avoid-neg < baseline,-0.477197908873237,-0.044820780735818
sub-SD,../1_resample_mask/1b_binarized_resampled_Dorsolateral_R_Z2.nii,Dorsolateral,Right,avoid-neg < baseline,-0.521981929316384,-0.044820780735818
sub-SD,../1_resample_mask/1b_binarized_resampled_Orbital_Frontal_L_Z0.nii,Orbital Frontal,Left,avoid-neg < baseline,-0.0900172685087662,-0.594671256681149
sub-SD,../1_resample_mask/1b_binarized_resampled_Orbital_Frontal_R_Z0.nii,Orbital Frontal,Right,avoid-neg < baseline,-0.354151915110933,-0.594671256681149
sub-KP,../1_resample_mask/1b_binarized_resampled_Dorsolateral_L_Z2.nii,Dorsolateral,Left,approach > baseline,2.15960228845834,0.280455636100074
sub-KP,../1_resample_mask/1b_binarized_resampled_Dorsolateral_R_Z2.nii,Dorsolateral,Right,approach > baseline,1.21357555163601,0.280455636100074
sub-KP,../1_resample_mask/1b_binarized_resampled_Orbital_Frontal_L_Z0.nii,Orbital Frontal,Left,approach > baseline,2.80129369750517,0.189839888055411
sub-KP,../1_resample_mask/1b_binarized_resampled_Orbital_Frontal_R_Z0.nii,Orbital Frontal,Right,approach > baseline,1.90739648110937,0.189839888055411
sub-KP,../1_resample_mask/1b_binarized_resampled_Dorsolateral_L_Z2.nii,Dorsolateral,Left,approach < baseline,-2.15960228845834,0.280455636100074
sub-KP,../1_resample_mask/1b_binarized_resampled_Dorsolateral_R_Z2.nii,Dorsolateral,Right,approach < baseline,-1.21357555163601,0.280455636100074
sub-KP,../1_resample_mask/1b_binarized_resampled_Orbital_Frontal_L_Z0.nii,Orbital Frontal,Left,approach < baseline,-2.80129369750517,0.189839888055411
sub-KP,../1_resample_mask/1b_binarized_resampled_Orbital_Frontal_R_Z0.nii,Orbital Frontal,Right,approach < baseline,-1.90739648110937,0.189839888055411
sub-KP,../1_resample_mask/1b_binarized_resampled_Dorsolateral_L_Z2.nii,Dorsolateral,Left,avoid > baseline,1.21755911967881,0.583705673602223
sub-KP,../1_resample_mask/1b_binarized_resampled_Dorsolateral_R_Z2.nii,Dorsolateral,Right,avoid > baseline,0.320048707297533,0.583705673602223
