TrialNumber,run_number,val,n_block,mot,stim_name,num_block,catch,hand,ran,order,response,RT,Subject number,n_b,left_side_resp_label,trial_onset,blk_instr_onset,baseline_onset
148,2.0,pos,1,avoid,meat10_crop.jpg,15.0,True,left,1.0,147.0,3,2862.58,1.0,15.0,DON'T EAT                                    EAT,2860.79,2842.66,2612.87
149,2.0,pos,1,approach,cake2_crop.jpg,15.0,False,left,1.0,148.0,1,2864.59,1.0,15.0,DON'T EAT                                    EAT,2862.8,2842.66,2612.87
150,2.0,pos,1,approach,cake11_crop.jpg,15.0,False,left,1.0,149.0,1,2866.61,1.0,15.0,DON'T EAT                                    EAT,2864.82,2842.66,2612.87
151,2.0,pos,1,avoid,meat9_crop.jpg,16.0,False,left,1.0,150.0,1,2883.78,1.0,16.0,DON'T EAT                                    EAT,2881.99,2877.97,2612.87
152,2.0,pos,1,avoid,meat35_crop.jpg,16.0,False,left,1.0,151.0,3,2885.79,1.0,16.0,DON'T EAT                                    EAT,2884.0,2877.97,2612.87
153,2.0,pos,1,avoid,meat16_crop.jpg,16.0,False,left,1.0,152.0,3,2887.81,1.0,16.0,DON'T EAT                                    EAT,2886.02,2877.97,2612.87
154,2.0,pos,1,avoid,meat30_crop.jpg,16.0,False,left,1.0,153.0,3,2889.83,1.0,16.0,DON'T EAT                                    EAT,2888.04,2877.97,2612.87
155,2.0,pos,1,approach,cake22_crop.jpg,16.0,True,left,1.0,154.0,1,2891.84,1.0,16.0,DON'T EAT                                    EAT,2890.05,2877.97,2612.87
156,2.0,pos,1,avoid,meat22_crop.jpg,16.0,False,left,1.0,155.0,1,2893.86,1.0,16.0,DON'T EAT                                    EAT,2892.07,2877.97,2612.87
157,2.0,pos,1,avoid,meat12_crop.jpg,16.0,False,left,1.0,156.0,3,2895.88,1.0,16.0,DON'T EAT                                    EAT,2894.08,2877.97,2612.87
158,2.0,pos,1,avoid,meat15_crop.jpg,16.0,False,left,1.0,157.0,3,2897.89,1.0,16.0,DON'T EAT                                    EAT,2896.1,2877.97,2612.87
159,2.0,neg,1,approach,insect4_crop.jpg,16.0,True,left,1.0,158.0,1,2899.91,1.0,16.0,DON'T EAT                                    EAT,2898.12,2877.97,2612.87
