TrialNumber,n_block,catch,hand,mot,val,stim_name,run_number,num_block,ran,order,Subject number,n_b,left_side_resp_label,trial_onset,blk_instr_onset,baseline_onset,response,RT
67,1,False,right,approach,neg,insect3_crop.jpg,1,7,1.0,66.0,57.0,7.0,DON'T EAT                                    EAT,1978.3085,1962.1781,1733.7006,2,1978.9589
68,1,False,right,approach,neg,insect2_crop.jpg,1,7,1.0,67.0,57.0,7.0,DON'T EAT                                    EAT,1980.3265,1962.1781,1733.7006,2,1980.9136
69,1,True,right,avoid,pos,meat28_crop.jpg,1,7,1.0,68.0,57.0,7.0,DON'T EAT                                    EAT,1982.3451,1962.1781,1733.7006,1,1983.2147
70,1,False,right,approach,neg,insect36_crop.jpg,1,7,1.0,69.0,57.0,7.0,DON'T EAT                                    EAT,1984.3633,1962.1781,1733.7006,2,1985.4434
71,1,False,left,avoid,pos,meat19_crop.jpg,1,8,1.0,70.0,57.0,8.0,DON'T EAT                                    EAT,2002.4451,1998.4253,1733.7006,1,2003.3472
72,1,False,left,avoid,pos,meat14_crop.jpg,1,8,1.0,71.0,57.0,8.0,DON'T EAT                                    EAT,2004.4635,1998.4253,1733.7006,1,2005.2599
73,1,False,left,avoid,pos,meat16_crop.jpg,1,8,1.0,72.0,57.0,8.0,DON'T EAT                                    EAT,2006.4819,1998.4253,1733.7006,1,2007.1538
74,1,False,left,avoid,pos,meat36_crop.jpg,1,8,1.0,73.0,57.0,8.0,DON'T EAT                                    EAT,2008.5002,1998.4253,1733.7006,1,2009.0885
75,1,False,left,avoid,pos,meat38_crop.jpg,1,8,1.0,74.0,57.0,8.0,DON'T EAT                                    EAT,2010.5186,1998.4253,1733.7006,1,2011.0938
76,1,False,left,avoid,pos,meat22_crop.jpg,1,8,1.0,75.0,57.0,8.0,DON'T EAT                                    EAT,2012.5366,1998.4253,1733.7006,1,2013.214
77,1,True,left,approach,neg,insect33_crop.jpg,1,8,1.0,76.0,57.0,8.0,DON'T EAT                                    EAT,2014.5552,1998.4253,1733.7006,2,2015.279
78,1,False,left,avoid,pos,meat27_crop.jpg,1,8,1.0,77.0,57.0,8.0,DON'T EAT                                    EAT,2016.5732,1998.4253,1733.7006,1,2017.328
79,1,True,left,approach,pos,cake8_crop.jpg,1,8,1.0,78.0,57.0,8.0,DON'T EAT                                    EAT,2018.5919,1998.4253,1733.7006,2,2019.3353
80,1,False,left,avoid,pos,meat37_crop.jpg,1,8,1.0,79.0,57.0,8.0,DON'T EAT                                    EAT,2020.6102,1998.4253,1733.7006,1,2021.3428
81,0,True,right,approach,pos,cake9_crop.jpg,2,9,1.0,80.0,57.0,9.0,DON'T EAT                                    EAT,2364.112,2360.0918,2349.0005,2,2365.044
82,0,False,right,avoid,neg,fungus2_crop.jpg,2,9,1.0,81.0,57.0,9.0,DON'T EAT                                    EAT,2366.1304,2360.0918,2349.0005,1,2366.8965
83,0,False,right,avoid,neg,fungus7_crop.jpg,2,9,1.0,82.0,57.0,9.0,DON'T EAT                                    EAT,2368.1482,2360.0918,2349.0005,1,2369.0178
84,0,False,right,avoid,neg,fungus24_crop.jpg,2,9,1.0,83.0,57.0,9.0,DON'T EAT                                    EAT,2370.1672,2360.0918,2349.0005,1,2370.827
85,0,False,right,avoid,neg,fungus17_crop.jpg,2,9,1.0,84.0,57.0,9.0,DON'T EAT                                    EAT,2372.1855,2360.0918,2349.0005,1,2372.8584
86,0,False,right,avoid,neg,fungus35_crop.jpg,2,9,1.0,85.0,57.0,9.0,DON'T EAT                                    EAT,2374.204,2360.0918,2349.0005,1,2374.99
87,0,False,right,avoid,neg,fungus13_crop.jpg,2,9,1.0,86.0,57.0,9.0,DON'T EAT                                    EAT,2376.2224,2360.0918,2349.0005,1,2376.9495
88,0,False,right,avoid,neg,fungus21_crop.jpg,2,9,1.0,87.0,57.0,9.0,DON'T EAT                                    EAT,2378.24,2360.0918,2349.0005,1,2378.8892
89,0,True,right,approach,neg,insect39_crop.jpg,2,9,1.0,88.0,57.0,9.0,DON'T EAT                                    EAT,2380.259,2360.0918,2349.0005,2,2381.0017
90,0,False,right,avoid,neg,fungus22_crop.jpg,2,9,1.0,89.0,57.0,9.0,DON'T EAT                                    EAT,2382.2773,2360.0918,2349.0005,1,2382.9268
91,1,False,right,avoid,pos,meat7_crop.jpg,2,10,1.0,90.0,57.0,10.0,DON'T EAT                                    EAT,2401.0596,2397.0396,2349.0005,1,2402.1375
92,1,True,right,approach,neg,insect38_crop.jpg,2,10,1.0,91.0,57.0,10.0,DON'T EAT                                    EAT,2403.078,2397.0396,2349.0005,2,2403.8647
93,1,False,right,avoid,pos,meat5_crop.jpg,2,10,1.0,92.0,57.0,10.0,DON'T EAT                                    EAT,2405.0962,2397.0396,2349.0005,1,2405.797
94,1,False,right,avoid,pos,meat3_crop.jpg,2,10,1.0,93.0,57.0,10.0,DON'T EAT                                    EAT,2407.1145,2397.0396,2349.0005,1,2407.8962
95,1,False,right,avoid,pos,meat32_crop.jpg,2,10,1.0,94.0,57.0,10.0,DON'T EAT                                    EAT,2409.1328,2397.0396,2349.0005,1,2409.9292
96,1,False,right,avoid,pos,meat33_crop.jpg,2,10,1.0,95.0,57.0,10.0,DON'T EAT                                    EAT,2411.1514,2397.0396,2349.0005,1,2412.1074
97,1,False,right,avoid,pos,meat22_crop.jpg,2,10,1.0,96.0,57.0,10.0,DON'T EAT                                    EAT,2413.1692,2397.0396,2349.0005,1,2413.9534
98,1,False,right,avoid,pos,meat37_crop.jpg,2,10,1.0,97.0,57.0,10.0,DON'T EAT                                    EAT,2415.188,2397.0396,2349.0005,1,2415.9827
99,1,False,right,avoid,pos,meat11_crop.jpg,2,10,1.0,98.0,57.0,10.0,DON'T EAT                                    EAT,2417.206,2397.0396,2349.0005,1,2418.0205
100,1,True,right,approach,pos,cake8_crop.jpg,2,10,1.0,99.0,57.0,10.0,DON'T EAT                                    EAT,2419.2246,2397.0396,2349.0005,2,2420.0532
101,3,False,left,avoid,neg,fungus8_crop.jpg,2,11,1.0,100.0,57.0,11.0,DON'T EAT                                    EAT,2437.8728,2433.853,2349.0005,1,2438.7488
102,3,False,left,avoid,neg,fungus19_crop.jpg,2,11,1.0,101.0,57.0,11.0,DON'T EAT                                    EAT,2439.8918,2433.853,2349.0005,1,2440.5618
103,3,False,left,avoid,neg,fungus37_crop.jpg,2,11,1.0,102.0,57.0,11.0,DON'T EAT                                    EAT,2441.9102,2433.853,2349.0005,1,2442.614
104,3,True,left,approach,pos,cake10_crop.jpg,2,11,1.0,103.0,57.0,11.0,DON'T EAT                                    EAT,2443.9285,2433.853,2349.0005,2,2444.8523
105,3,False,left,avoid,neg,fungus1_crop.jpg,2,11,1.0,104.0,57.0,11.0,DON'T EAT                                    EAT,2445.9468,2433.853,2349.0005,1,2446.5967
106,3,True,left,approach,neg,insect7_crop.jpg,2,11,1.0,105.0,57.0,11.0,DON'T EAT                                    EAT,2447.9646,2433.853,2349.0005,2,2448.6328
107,3,False,left,avoid,neg,fungus34_crop.jpg,2,11,1.0,106.0,57.0,11.0,DON'T EAT                                    EAT,2449.9832,2433.853,2349.0005,1,2450.7283
108,3,False,left,avoid,neg,fungus17_crop.jpg,2,11,1.0,107.0,57.0,11.0,DON'T EAT                                    EAT,2452.002,2433.853,2349.0005,1,2452.6836
109,3,False,left,avoid,neg,fungus7_crop.jpg,2,11,1.0,108.0,57.0,11.0,DON'T EAT                                    EAT,2454.02,2433.853,2349.0005,1,2454.6707
110,3,False,left,avoid,neg,fungus16_crop.jpg,2,11,1.0,109.0,57.0,11.0,DON'T EAT                                    EAT,2456.0386,2433.853,2349.0005,1,2456.7627
111,1,False,left,approach,neg,insect30_crop.jpg,2,12,1.0,110.0,57.0,12.0,DON'T EAT                                    EAT,2472.235,2468.2314,2349.0005,2,2473.01
112,1,False,left,approach,neg,insect9_crop.jpg,2,12,1.0,111.0,57.0,12.0,DON'T EAT                                    EAT,2474.2532,2468.2314,2349.0005,2,2474.9019
113,1,False,left,approach,neg,insect8_crop.jpg,2,12,1.0,112.0,57.0,12.0,DON'T EAT                                    EAT,2476.2717,2468.2314,2349.0005,2,2476.933
114,1,True,left,avoid,neg,fungus11_crop.jpg,2,12,1.0,113.0,57.0,12.0,DON'T EAT                                    EAT,2478.2896,2468.2314,2349.0005,1,2479.085
115,1,False,left,approach,neg,insect26_crop.jpg,2,12,1.0,114.0,57.0,12.0,DON'T EAT                                    EAT,2480.3086,2468.2314,2349.0005,2,2481.0
116,1,True,left,avoid,pos,meat35_crop.jpg,2,12,1.0,115.0,57.0,12.0,DON'T EAT                                    EAT,2482.327,2468.2314,2349.0005,1,2483.1848
117,1,False,left,approach,neg,insect21_crop.jpg,2,12,1.0,116.0,57.0,12.0,DON'T EAT                                    EAT,2484.3452,2468.2314,2349.0005,1,2485.3018
